"BehaviorSpace results (NetLogo 6.1.1)"
"IdeoEpiChamber6.nlogo"
"IdeologyFilterUniformBias"
"01/05/2021 08:16:14:010 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","small-world?","num-seed-info","motivated-bias","layout?","motivated-start?","[step]","count turtles","count links","average-bubble","Yes.vlib","Yes.lib","Yes.m","Yes.con","Yes.vcon","No.vlib","No.lib","No.m","No.con","No.vcon"
"3","false","4","0","false","false","2","200","2129","0.6325790283276997","0.23809523809523808","0.2777777777777778","0.4142857142857143","0.22727272727272727","0.27586206896551724","0.7619047619047619","0.7222222222222222","0.5857142857142857","0.7727272727272727","0.7241379310344828"
"2","false","4","0","false","false","2","200","2141","0.633853493317454","0.2857142857142857","0.17391304347826086","0.2571428571428571","0.23529411764705882","0.13333333333333333","0.7142857142857143","0.8260869565217391","0.7428571428571429","0.7647058823529411","0.8666666666666667"
"4","false","4","0","false","false","2","200","2121","0.6329560362088921","0.5185185185185185","0.5526315789473685","0.45714285714285713","0.5476190476190477","0.4782608695652174","0.48148148148148145","0.4473684210526316","0.5428571428571428","0.4523809523809524","0.5217391304347826"
"1","false","4","0","false","false","2","200","2144","0.6317609567830073","0.18181818181818182","0.2777777777777778","0.22857142857142856","0.20454545454545456","0.1794871794871795","0.8181818181818182","0.7222222222222222","0.7714285714285715","0.7954545454545454","0.8205128205128205"
"8","false","4","0","false","false","2","200","2130","0.629831960674919","0.4444444444444444","0.5813953488372093","0.6857142857142857","0.6216216216216216","0.7391304347826086","0.5555555555555556","0.4186046511627907","0.3142857142857143","0.3783783783783784","0.2608695652173913"
"7","false","4","0","false","false","2","200","2124","0.633222864106347","0.1111111111111111","0.12195121951219512","0.17142857142857143","0.1282051282051282","0.21739130434782608","0.8888888888888888","0.8780487804878049","0.8285714285714286","0.8717948717948718","0.782608695652174"
"6","false","4","0","false","false","2","200","2125","0.6339873307061233","0.4883720930232558","0.4791666666666667","0.34285714285714286","0.3125","0.2857142857142857","0.5116279069767442","0.5208333333333334","0.6571428571428571","0.6875","0.7142857142857143"
"5","false","4","0","false","false","3","200","2132","0.6414790231889507","0","0.3333333333333333","0.3","0.5","0.625","1","0.6666666666666666","0.7","0.5","0.375"
"9","false","4","0","false","false","2","200","2140","0.6334605909505565","0.5","0.4838709677419355","0.6428571428571429","0.6530612244897959","0.5882352941176471","0.5","0.5161290322580645","0.35714285714285715","0.3469387755102041","0.4117647058823529"
"11","false","4","0","false","false","2","200","2121","0.6341365950193404","0.34210526315789475","0.3541666666666667","0.2714285714285714","0.15625","0.25","0.6578947368421053","0.6458333333333334","0.7285714285714285","0.84375","0.75"
"10","false","4","0","false","false","2","200","2126","0.6342501458292786","0.625","0.6486486486486487","0.5428571428571428","0.6744186046511628","0.5714285714285714","0.375","0.35135135135135137","0.45714285714285713","0.32558139534883723","0.42857142857142855"
"12","false","4","0","false","false","2","200","2121","0.6317178409808961","0.41379310344827586","0.5476190476190477","0.5","0.2631578947368421","0.3333333333333333","0.5862068965517241","0.4523809523809524","0.5","0.7368421052631579","0.6666666666666666"
"16","false","4","0","false","false","2","200","2138","0.6337773107583778","0.5757575757575758","0.48","0.5142857142857142","0.3","0.47058823529411764","0.42424242424242425","0.52","0.4857142857142857","0.7","0.5294117647058824"
"15","false","4","0","false","false","2","200","2139","0.6320389918820649","0.4","0.46153846153846156","0.34285714285714286","0.42592592592592593","0.5111111111111111","0.6","0.5384615384615384","0.6571428571428571","0.5740740740740741","0.4888888888888889"
"14","false","4","0","false","false","2","200","2129","0.6327282349856744","0.8333333333333334","0.8571428571428571","0.8857142857142857","0.8222222222222222","0.8125","0.16666666666666666","0.14285714285714285","0.11428571428571428","0.17777777777777778","0.1875"
"13","false","4","0","false","false","2","200","2129","0.6324848856568479","0.125","0.275","0.22857142857142856","0.375","0.29411764705882354","0.875","0.725","0.7714285714285715","0.625","0.7058823529411765"
"18","false","4","0","false","false","2","200","2144","0.631415364552391","0.1","0.22727272727272727","0.2714285714285714","0.25","0.26666666666666666","0.9","0.7727272727272727","0.7285714285714285","0.75","0.7333333333333333"
"17","false","4","0","false","false","2","200","2129","0.63188138606996","0.14814814814814814","0.35555555555555557","0.14285714285714285","0.22857142857142856","0.2608695652173913","0.8518518518518519","0.6444444444444445","0.8571428571428571","0.7714285714285715","0.7391304347826086"
"20","false","4","0","false","false","2","200","2141","0.6357591142039943","0.7368421052631579","0.4146341463414634","0.5714285714285714","0.38461538461538464","0.5161290322580645","0.2631578947368421","0.5853658536585366","0.42857142857142855","0.6153846153846154","0.4838709677419355"
"19","false","4","0","false","false","2","200","2141","0.6307077470500059","0.5625","0.42857142857142855","0.4142857142857143","0.5777777777777777","0.5882352941176471","0.4375","0.5714285714285714","0.5857142857142857","0.4222222222222222","0.4117647058823529"
"21","false","4","0","false","false","2","200","2134","0.635254853664468","0.8461538461538461","0.7894736842105263","0.7285714285714285","0.7619047619047619","0.6666666666666666","0.15384615384615385","0.21052631578947367","0.2714285714285714","0.23809523809523808","0.3333333333333333"
"22","false","4","0","false","false","2","200","2125","0.6342196448716991","0","0.16666666666666666","0.24285714285714285","0.18421052631578946","0.1","1","0.8333333333333334","0.7571428571428571","0.8157894736842105","0.9"
"24","false","4","0","false","false","2","200","2146","0.6353920934492882","0.1875","0.3235294117647059","0.2","0.13043478260869565","0.029411764705882353","0.8125","0.6764705882352942","0.8","0.8695652173913043","0.9705882352941176"
"23","false","4","0","false","false","2","200","2119","0.6312298959338526","0.3448275862068966","0.37209302325581395","0.42857142857142855","0.2972972972972973","0.2857142857142857","0.6551724137931034","0.627906976744186","0.5714285714285714","0.7027027027027027","0.7142857142857143"
"26","false","4","0","false","false","2","200","2123","0.6341079642129839","0.8","0.813953488372093","0.7","0.6216216216216216","0.65","0.2","0.18604651162790697","0.3","0.3783783783783784","0.35"
"25","false","4","0","false","false","2","200","2127","0.6333050871146666","0.6666666666666666","0.8518518518518519","0.8142857142857143","0.8461538461538461","1","0.3333333333333333","0.14814814814814814","0.18571428571428572","0.15384615384615385","0"
"27","false","4","0","false","false","2","200","2135","0.6335966903588651","0.65625","0.8717948717948718","0.8285714285714286","0.7560975609756098","0.8333333333333334","0.34375","0.1282051282051282","0.17142857142857143","0.24390243902439024","0.16666666666666666"
"28","false","4","0","false","false","2","200","2135","0.6364928442753317","0.5263157894736842","0.4864864864864865","0.5857142857142857","0.7209302325581395","0.7096774193548387","0.47368421052631576","0.5135135135135135","0.4142857142857143","0.27906976744186046","0.2903225806451613"
"30","false","4","0","false","false","2","200","2145","0.6311164309706192","0.3870967741935484","0.5","0.4142857142857143","0.475","0.6842105263157895","0.6129032258064516","0.5","0.5857142857142857","0.525","0.3157894736842105"
"29","false","4","0","false","false","2","200","2132","0.6311992845984784","0.7241379310344828","0.8333333333333334","0.6857142857142857","0.6052631578947368","0.8571428571428571","0.27586206896551724","0.16666666666666666","0.3142857142857143","0.39473684210526316","0.14285714285714285"
"31","false","4","0","false","false","2","200","2131","0.6325262908024168","0.35714285714285715","0.3888888888888889","0.22857142857142856","0.25","0.19444444444444445","0.6428571428571429","0.6111111111111112","0.7714285714285715","0.75","0.8055555555555556"
"32","false","4","0","false","false","2","200","2135","0.6324284388952632","0.5609756097560976","0.575","0.45714285714285713","0.45","0.6666666666666666","0.43902439024390244","0.425","0.5428571428571428","0.55","0.3333333333333333"
"33","false","4","0","false","false","2","200","2141","0.6338080616738473","0.6923076923076923","0.8409090909090909","0.9285714285714286","0.9722222222222222","1","0.3076923076923077","0.1590909090909091","0.07142857142857142","0.027777777777777776","0"
"34","false","4","0","false","false","2","200","2125","0.6328853697195084","0.5","0.5333333333333333","0.44285714285714284","0.45714285714285713","0.5","0.5","0.4666666666666667","0.5571428571428572","0.5428571428571428","0.5"
"35","false","4","0","false","false","2","200","2122","0.6353221057189976","0.29411764705882354","0.5454545454545454","0.42857142857142855","0.574468085106383","0.3939393939393939","0.7058823529411765","0.45454545454545453","0.5714285714285714","0.425531914893617","0.6060606060606061"
"36","false","4","0","false","false","2","200","2129","0.6330628081888395","0.90625","0.9090909090909091","0.9428571428571428","0.9722222222222222","0.8888888888888888","0.09375","0.09090909090909091","0.05714285714285714","0.027777777777777776","0.1111111111111111"
"37","false","4","0","false","false","2","200","2130","0.6310242922094068","0.2","0.23684210526315788","0.34285714285714286","0.3333333333333333","0.4","0.8","0.7631578947368421","0.6571428571428571","0.6666666666666666","0.6"
"38","false","4","0","false","false","2","200","2123","0.6350164675958498","0.6551724137931034","0.3181818181818182","0.45714285714285713","0.2222222222222222","0.3333333333333333","0.3448275862068966","0.6818181818181818","0.5428571428571428","0.7777777777777778","0.6666666666666666"
"39","false","4","0","false","false","2","200","2137","0.632355482371473","0.7083333333333334","0.6888888888888889","0.6285714285714286","0.5142857142857142","0.6153846153846154","0.2916666666666667","0.3111111111111111","0.37142857142857144","0.4857142857142857","0.38461538461538464"
"40","false","4","0","false","false","2","200","2131","0.6305292030940102","0.45","0.6888888888888889","0.5857142857142857","0.5142857142857142","0.43333333333333335","0.55","0.3111111111111111","0.4142857142857143","0.4857142857142857","0.5666666666666667"
"41","false","4","0","false","false","2","200","2136","0.6318067081372334","0.15789473684210525","0.1794871794871795","0.22857142857142856","0.24390243902439024","0.16129032258064516","0.8421052631578947","0.8205128205128205","0.7714285714285715","0.7560975609756098","0.8387096774193549"
"42","false","4","0","false","false","2","200","2127","0.6356971121818326","0.6071428571428571","0.5681818181818182","0.5142857142857142","0.5277777777777778","0.7272727272727273","0.39285714285714285","0.4318181818181818","0.4857142857142857","0.4722222222222222","0.2727272727272727"
"43","false","4","0","false","false","2","200","2126","0.6338994308440221","0.20512820512820512","0.1702127659574468","0.12857142857142856","0.12121212121212122","0","0.7948717948717948","0.8297872340425532","0.8714285714285714","0.8787878787878788","1"
"44","false","4","0","false","false","2","200","2145","0.634764695057211","0.5","0.41025641025641024","0.38571428571428573","0.34146341463414637","0.3","0.5","0.5897435897435898","0.6142857142857143","0.6585365853658537","0.7"
"45","false","4","0","false","false","2","200","2137","0.6377001531931771","0.7419354838709677","0.7714285714285715","0.7","0.7111111111111111","0.7894736842105263","0.25806451612903225","0.22857142857142856","0.3","0.28888888888888886","0.21052631578947367"
"46","false","4","0","false","false","2","200","2133","0.6343870576310823","0.68","0.7111111111111111","0.5428571428571428","0.45714285714285713","0.48","0.32","0.28888888888888886","0.45714285714285713","0.5428571428571428","0.52"
"47","false","4","0","false","false","2","200","2129","0.6324157302585589","0.8529411764705882","0.7777777777777778","0.8571428571428571","0.7714285714285715","0.625","0.14705882352941177","0.2222222222222222","0.14285714285714285","0.22857142857142856","0.375"
"48","false","4","0","false","false","2","200","2143","0.6314335968924817","0.7272727272727273","0.6976744186046512","0.6","0.5945945945945946","0.47058823529411764","0.2727272727272727","0.3023255813953488","0.4","0.40540540540540543","0.5294117647058824"
"49","false","4","0","false","false","2","200","2128","0.6321317213872757","0.3333333333333333","0.37142857142857144","0.3","0.4","0.375","0.6666666666666666","0.6285714285714286","0.7","0.6","0.625"
"50","false","4","0","false","false","2","200","2126","0.6352696816104207","0.0967741935483871","0.13157894736842105","0.18571428571428572","0.16666666666666666","0.2631578947368421","0.9032258064516129","0.868421052631579","0.8142857142857143","0.8333333333333334","0.7368421052631579"
"51","false","4","0","false","false","2","200","2135","0.6331247054770802","0.3181818181818182","0.26666666666666666","0.21428571428571427","0.24","0.25","0.6818181818181818","0.7333333333333333","0.7857142857142857","0.76","0.75"
"52","false","4","0","false","false","2","200","2144","0.6361248310837193","0.76","0.9302325581395349","0.8","0.8648648648648649","0.84","0.24","0.06976744186046512","0.2","0.13513513513513514","0.16"
"53","false","4","0","false","false","2","200","2134","0.6340066878553199","0.9285714285714286","0.868421052631579","0.8714285714285714","0.7380952380952381","0.8888888888888888","0.07142857142857142","0.13157894736842105","0.12857142857142856","0.2619047619047619","0.1111111111111111"
"54","false","4","0","false","false","2","200","2132","0.6311619299393633","0.46153846153846156","0.47619047619047616","0.38571428571428573","0.3684210526315789","0.20833333333333334","0.5384615384615384","0.5238095238095238","0.6142857142857143","0.631578947368421","0.7916666666666666"
"55","false","4","0","false","false","2","200","2137","0.631452049215016","0.6666666666666666","0.8","0.6714285714285714","0.7428571428571429","0.6896551724137931","0.3333333333333333","0.2","0.32857142857142857","0.2571428571428571","0.3103448275862069"
"56","false","4","0","false","false","2","200","2140","0.6355547557945799","0.09090909090909091","0.03333333333333333","0.22857142857142856","0.18","0.20512820512820512","0.9090909090909091","0.9666666666666667","0.7714285714285715","0.82","0.7948717948717948"
"57","false","4","0","false","false","2","200","2133","0.633534176810873","0.6428571428571429","0.5853658536585366","0.4142857142857143","0.5641025641025641","0.4444444444444444","0.35714285714285715","0.4146341463414634","0.5857142857142857","0.4358974358974359","0.5555555555555556"
"58","false","4","0","false","false","2","200","2124","0.6321746927494817","0.725","0.717391304347826","0.7571428571428571","0.7352941176470589","0.6","0.275","0.2826086956521739","0.24285714285714285","0.2647058823529412","0.4"
