"BehaviorSpace results (NetLogo 6.2.2)"
"IdeoEpiChamberAvowal.nlogo"
"IncongruentPnOyyy"
"04/13/2022 10:14:30:958 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","max-motivated-bias","StartType","small-world?","motivated-bias","layout?","[step]","count turtles","count links","average-bubble","Yes.vlib","Yes.lib","Yes.m","Yes.con","Yes.vcon","No.vlib","No.lib","No.m","No.con","No.vcon"
"40","0","PnOyyy","true","0","false","5","200","2195","0.6326959271120036","1","1","1","1","1","0","0","0","0","0"
"52","0","PnOyyy","true","0","false","9","200","2152","0.6158861361625703","1","0.925","0.9","0.925","1","0","0.075","0.1","0.075","0"
"50","0","PnOyyy","true","0","false","15","200","2166","0.6180465613728185","1","1","1","1","1","0","0","0","0","0"
"55","0","PnOyyy","true","0","false","3","200","2182","0.6345662650658354","1","1","1","1","1","0","0","0","0","0"
"56","0","PnOyyy","true","0","false","6","200","2122","0.644302466517313","1","1","1","1","1","0","0","0","0","0"
"54","0","PnOyyy","true","0","false","5","200","2151","0.6565293541390455","1","1","1","1","1","0","0","0","0","0"
"53","0","PnOyyy","true","0","false","6","200","2153","0.6150092735211334","1","1","1","1","1","0","0","0","0","0"
"51","0","PnOyyy","true","0","false","4","200","2173","0.6290820552910743","1","1","1","1","1","0","0","0","0","0"
"61","0","PnOyyy","true","0","false","3","200","2161","0.6306629388641605","1","1","1","1","1","0","0","0","0","0"
"57","0","PnOyyy","true","0","false","8","200","2188","0.6214977956341937","1","1","1","1","1","0","0","0","0","0"
"59","0","PnOyyy","true","0","false","3","200","2140","0.618253811417387","1","1","1","1","1","0","0","0","0","0"
"58","0","PnOyyy","true","0","false","5","200","2147","0.6307986934703829","1","1","1","1","1","0","0","0","0","0"
"60","0","PnOyyy","true","0","false","7","200","2113","0.6149802359893394","0.696969696969697","0.5294117647058824","0.7285714285714285","0.782608695652174","0.9411764705882353","0.30303030303030304","0.47058823529411764","0.2714285714285714","0.21739130434782608","0.058823529411764705"
"63","0","PnOyyy","true","0","false","4","200","2149","0.6187494201505257","1","1","1","1","1","0","0","0","0","0"
"64","0","PnOyyy","true","0","false","6","200","2135","0.6340339617984145","1","1","1","1","1","0","0","0","0","0"
"45","0","PnOyyy","true","0","false","5","200","2153","0.6294611458239845","1","1","1","1","1","0","0","0","0","0"
"65","0","PnOyyy","true","0","false","9","200","2165","0.6424791729334445","1","1","1","1","1","0","0","0","0","0"
"67","0","PnOyyy","true","0","false","4","200","2161","0.6187148334500902","1","1","1","1","1","0","0","0","0","0"
"66","0","PnOyyy","true","0","false","5","200","2159","0.6400440367738015","1","1","1","1","1","0","0","0","0","0"
"71","0","PnOyyy","true","0","false","4","200","2169","0.6270824123472737","1","1","1","1","1","0","0","0","0","0"
"72","0","PnOyyy","true","0","false","6","200","2143","0.6245203362054822","1","1","1","1","1","0","0","0","0","0"
"68","0","PnOyyy","true","0","false","5","200","2127","0.6195572358532918","1","1","1","1","1","0","0","0","0","0"
"69","0","PnOyyy","true","0","false","8","200","2133","0.6124596227783974","1","1","1","1","1","0","0","0","0","0"
"70","0","PnOyyy","true","0","false","10","200","2161","0.6263800544268942","1","1","1","1","1","0","0","0","0","0"
"62","0","PnOyyy","true","0","false","7","200","2149","0.6086584050957995","1","1","1","1","1","0","0","0","0","0"
"74","0","PnOyyy","true","0","false","5","200","2160","0.6193750982468382","1","1","1","1","1","0","0","0","0","0"
"73","0","PnOyyy","true","0","false","3","200","2160","0.623807362987566","1","1","1","1","1","0","0","0","0","0"
"75","0","PnOyyy","true","0","false","7","200","2177","0.6207095893550689","1","1","1","1","1","0","0","0","0","0"
"76","0","PnOyyy","true","0","false","11","200","2164","0.6174048319279136","1","1","1","1","1","0","0","0","0","0"
